review_id,rank,scan_id,z,voxel_y0,voxel_y1,voxel_x0,voxel_x1,risk_mean,quality_mean,human_label,human_notes
Scroll1_z1000_tile_0001,1,Scroll1,1000,3520,3536,4272,4288,0.3811179995536804,0.6188820004463196,unreviewed,
Scroll1_z1000_tile_0002,2,Scroll1,1000,3536,3552,4272,4288,0.34701070189476013,0.6529892683029175,unreviewed,
Scroll1_z1000_tile_0003,3,Scroll1,1000,3520,3536,4288,4304,0.3452908992767334,0.6547091007232666,unreviewed,
Scroll1_z1000_tile_0004,4,Scroll1,1000,3536,3552,4288,4304,0.3325774073600769,0.6674225926399231,unreviewed,
Scroll1_z1000_tile_0005,5,Scroll1,1000,3552,3568,4304,4320,0.3309711813926697,0.6690287590026855,unreviewed,
Scroll1_z1000_tile_0006,6,Scroll1,1000,3552,3568,4272,4288,0.32547885179519653,0.6745211482048035,unreviewed,
Scroll1_z1000_tile_0007,7,Scroll1,1000,3552,3568,4288,4304,0.30583974719047546,0.6941602230072021,unreviewed,
Scroll1_z1000_tile_0008,8,Scroll1,1000,3520,3536,4304,4320,0.3055981397628784,0.6944018602371216,unreviewed,
Scroll1_z1000_tile_0009,9,Scroll1,1000,3536,3552,4256,4272,0.2990381717681885,0.7009618878364563,unreviewed,
Scroll1_z1000_tile_0010,10,Scroll1,1000,3568,3584,4272,4288,0.29433611035346985,0.7056639194488525,unreviewed,
Scroll1_z1000_tile_0011,11,Scroll1,1000,3520,3536,4256,4272,0.270747572183609,0.7292524576187134,unreviewed,
Scroll1_z1000_tile_0012,12,Scroll1,1000,3568,3584,4288,4304,0.26902759075164795,0.730972409248352,unreviewed,
Scroll1_z1000_tile_0013,13,Scroll1,1000,3568,3584,4304,4320,0.2682455778121948,0.73175448179245,unreviewed,
Scroll1_z1000_tile_0014,14,Scroll1,1000,3552,3568,4256,4272,0.26375311613082886,0.7362468242645264,unreviewed,
Scroll1_z1000_tile_0015,15,Scroll1,1000,3536,3552,4304,4320,0.25662097334861755,0.7433790564537048,unreviewed,
Scroll1_z1000_tile_0016,16,Scroll1,1000,3568,3584,4256,4272,0.24368834495544434,0.7563116550445557,unreviewed,
